console,game,rank,publisher,critic_score,units_sold,release_date
GBA,Disney's Kim Possible 2: Drakken's Demise,108,Disney Interactive Studios,8.3,,2004-09-15
GBA,Yoshi Topsy-Turvy,109,Nintendo,,,2005-06-13
GBA,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,110,Majesco,,,2005-04-25
GBA,Advance Wars 2: Black Hole Rising,111,Nintendo,8.8,,2003-06-24
GBA,Crash Bandicoot Purple: Ripto's Rampage,112,Vivendi Games,6.7,,2004-06-03
GBA,Nicktoons Collection: Game Boy Advance Video Volume 1,113,Majesco,,,2004-06-22
GBA,SpongeBob SquarePants: Game Boy Advance Video Volume 1,114,Majesco,,,2004-05-14
GBA,Konami Collector's Series: Arcade Advanced,115,Konami,8.0,,2002-03-21
GBA,Dogz,116,Ubisoft,4.1,,2005-11-17
GBA,The Urbz: Sims in the City,117,Electronic Arts,,,2004-11-09
GBA,2 Games in 1: Sonic Battle & ChuChu Rocket!,118,THQ,,,2005-11-16
GBA,Dora the Explorer: Super Spies,119,Gotham Games,,,2004-10-25
GBA,Texas Hold 'Em Poker,120,Majesco,,,2004-11-01
GBA,Final Fantasy IV Advance,121,Square Enix,8.6,,2005-12-12
GBA,Madden NFL 2003,122,EA Sports,,,2002-08-12
GBA,Harry Potter and the Goblet of Fire,123,Electronic Arts,6.0,,2005-11-08
GBA,Dragon Ball Z: Buu's Fury,124,Atari,5.9,,2004-09-14
GBA,Spider-Man: Mysterio's Menace,125,Activision,,,2001-09-19
GBA,Game & Watch Gallery 4,126,Nintendo,6.4,,2002-10-28
GBA,Tony Hawk's Underground,127,Activision,,,2003-10-27
