Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
187,R.B.I. Baseball 18,R.B.I. Baseball 18,,MLB Advanced Media,,,,,20th Mar 18,20th Jan 18,,NS
188,Goosebumps: The Game,Goosebumps: The Game,,GameMill Entertainment,,,,,09th Oct 18,14th Jun 18,,NS
189,Paw Patrol on a Roll,Paw Patrol on a Roll,,Outright Games,,,,,23rd Oct 18,07th Aug 18,,NS
190,Little Dragons Café,Little Dragons Café,,Aksys Games,,7.0,,,24th Aug 18,26th Sep 18,,NS
191,Farming Simulator 17,Farming Simulator 17,,Focus Home Interactive,,,,,07th Nov 17,06th Jan 18,,NS
192,Shantae: Half-Genie Hero,Shantae: Half-Genie Hero Read the review,,Xseed Games,7.0,,,,08th May 18,30th Dec 18,,NS
193,Batman: A Telltale Game Series,Batman: A Telltale Game Series,,Telltale Games,,,,,14th Nov 17,05th Jan 18,,NS
194,"Snipperclips Plus: Cut It Out, Together!","Snipperclips Plus: Cut It Out, Together!",,Nintendo,,8.2,8.5,,03rd Mar 17,31st Mar 18,,NS
195,Pro Yakyuu Famista Evolution,Pro Yakyuu Famista Evolution,,Bandai Namco Games,,,,,02nd Aug 18,26th Aug 18,,NS
196,The Snack World: Trejarers Gold,The Snack World: Trejarers Gold,,Level 5,,,,,14th Feb 20,09th Dec 19,,NS
197,Payday 2,Payday 2,,505 Games,,5.0,,,27th Feb 18,08th Jan 18,,NS
198,Party Planet,Party Planet,,Mastiff,,,,,12th Dec 17,09th Feb 19,,NS
199,Dead Cells,Dead Cells Read the review,,Merge Games,7.0,9.3,,,15th Aug 18,06th Aug 18,,NS
200,Namco Museum Arcade Pac,Namco Museum Arcade Pac,,Bandai Namco Entertainment,,7.8,,,28th Sep 18,11th Feb 19,,NS
201,Wolfenstein II: The New Colossus,Wolfenstein II: The New Colossus,,Bethesda Softworks,,8.3,,,29th Jun 18,28th Jul 18,,NS
202,Overcooked Special Edition,Overcooked Special Edition,,Team 17,,8.4,,,13th Feb 18,08th Jan 18,,NS
203,Ys VIII: Lacrimosa of Dana,Ys VIII: Lacrimosa of Dana,,NIS America,,8.5,6.7,,26th Jun 18,11th Jan 18,,NS
204,Troll and I,Troll and I,,Maximum Games,,,,,15th Aug 17,20th Aug 18,,NS
205,Sumikko Gurashi: Sumikko Park e Youkoso,Sumikko Gurashi: Sumikko Park e Youkoso,,Nippon Columbia,,,,,07th Dec 17,07th Jan 18,,NS
206,Dragon Quest Heroes I & II for Nintendo Switch,Dragon Quest Heroes I & II for Nintendo Switch,,Square Enix,,,,,03rd Mar 17,13th Jan 18,,NS
207,Mutant Football League: Dynasty Edition,Mutant Football League: Dynasty Edition,,Nighthawk Interactive,,,,,30th Oct 18,08th Nov 18,,NS
208,Shining Resonance Refrain,Shining Resonance Refrain Read the review,,Sega,6.0,,,,10th Jul 18,15th Sep 18,,NS
209,MXGP 3: The Official Motocross Videogame,MXGP 3: The Official Motocross Videogame,,Milestone S.r.l.,,,,,17th Nov 17,25th Jun 18,,NS
210,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers,,GameMill Entertainment,,,,,31st Oct 17,25th Sep 20,,NS
211,Ben 10 (2017),Ben 10 (2017),,Outright Games,,,,,14th Nov 17,21st Jan 19,,NS
212,R.B.I. Baseball 2017,R.B.I. Baseball 2017,,MLB.com,,,,,05th Sep 17,,,NS
213,Monster Jam: Crush It,Monster Jam: Crush It,,GameMill,,,,,31st Oct 17,,,NS
214,ARK: Survival Evolved,ARK: Survival Evolved,,Studio Wildcard,,4.0,,,30th Nov 18,22nd Sep 18,,NS
215,Seiken Densetsu Collection,Seiken Densetsu Collection,,Square Enix,,,,,01st Jun 17,,,NS
216,Bass Pro Shops: The Strike - Championship Edition,Bass Pro Shops: The Strike - Championship Edition,,Planet Entertainment,,,,,09th Nov 18,11th Sep 18,,NS
217,Poi,Poi,,Polykid,,5.0,,,01st Feb 17,15th Feb 19,,NS
218,One Piece: Unlimited World Red Deluxe Edition,One Piece: Unlimited World Red Deluxe Edition,,Namco Bandai Games,,,,,29th Sep 17,08th Jan 18,,NS
219,Wild Guns Reloaded,Wild Guns Reloaded,,Natsume,,,,,17th Apr 18,16th Feb 19,,NS
220,Cabela's The Hunt: Championship Edition Bundle,Cabela's The Hunt: Championship Edition Bundle,,Planet Entertainment,,,,,09th Nov 18,11th Sep 18,,NS
221,Sushi Striker: The Way of Sushido,Sushi Striker: The Way of Sushido,,Nintendo,,7.9,,,08th Jun 18,23rd Jul 20,,NS
222,Hello Neighbor: Hide & Seek,Hello Neighbor: Hide & Seek,,Gearbox Software,,,,,07th Dec 18,22nd Sep 18,,NS
223,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,,Arc System Works,,8.0,,,05th Jun 18,06th Jun 18,,NS
224,Scribblenauts: Showdown,Scribblenauts: Showdown,,Warner Bros. Interactive,,,,,06th Mar 18,03rd Apr 18,,NS
225,Nights of Azure 2: Bride of the New Moon,Nights of Azure 2: Bride of the New Moon,,Tecmo Koei,,,,,24th Oct 17,06th Sep 18,,NS
226,America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,,Ubisoft,,,,,30th Oct 18,16th Feb 19,,NS
227,Ittle Dew 2+,Ittle Dew 2+ Read the review,,Nicalis,,,,,14th Nov 17,16th Feb 19,,NS
228,Touhou Kobuto V: Burst Battle,Touhou Kobuto V: Burst Battle,,NIS America,,,,,10th Oct 17,04th Jan 18,,NS
229,Victor Vran: Overkill Edition,Victor Vran: Overkill Edition,,Wired Productions,,,,,28th Aug 18,24th Feb 19,,NS
230,Stern Pinball Arcade,Stern Pinball Arcade,,Alliance Digital Media,,,,,12th Dec 17,19th Feb 19,,NS
231,Asterix and Obelix XXL2,Asterix and Obelix XXL2,,Microids,,6.5,,,29th Nov 18,19th Feb 19,,NS
232,Disgaea 1 Complete,Disgaea 1 Complete,,NIS America,,8.0,,,09th Oct 18,19th Feb 19,,NS
233,Azure Striker Gunvolt: Striker Pack,Azure Striker Gunvolt: Striker Pack,,Nighthawk Interactive,,,,,21st Nov 17,11th Jan 18,,NS
